Population,500,Universe,1,Universe
pID,sno,ETA,@U,ETD,>U,@Role,@Mx,Age,FamKey,23-24,00-01,02-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00
0,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
1,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
2,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
3,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
4,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
5,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
6,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
7,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
8,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
9,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
10,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
11,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
12,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
13,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
14,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
15,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
16,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
17,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
18,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
19,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
20,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
21,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
22,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
23,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
24,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
25,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
26,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
27,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
28,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
29,0,0,0,24,0,R,1.0,0,F00,,U0,U0,,,,,,,,,,,,,,,,,,,
